Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
TH60-T1	Default	1/22/1980	6:17 AM	54.08	1.082	0.566	1.91	0.21	50.00	230	5.125	0.012
TH68-T1	Default	1/22/1980	6:18 AM	103.57	2.071	1.140	1.82	1.01	50.00	230	2.050	0.260
TH70-T1	Default	1/22/1980	6:19 AM	80.28	1.606	0.943	1.70	0.54	50.00	230	3.001	0.786
TH71-T1	Default	1/22/1980	6:19 AM	97.30	1.946	1.062	1.83	0.55	50.00	230	3.536	0.084
TH74-T1	Default	1/22/1980	6:20 AM	146.04	2.921	1.591	1.84	1.49	50.00	230	1.958	0.182
TH75-T1	Default	1/22/1980	6:21 AM	113.43	2.269	1.218	1.86	1.44	50.00	230	1.580	0.173
TH82-T1	Default	1/22/1980	6:21 AM	180.68	3.614	1.940	1.86	1.98	50.00	230	1.822	0.053
TH83-T1	Default	1/22/1980	6:22 AM	325.62	6.512	3.517	1.85	2.13	50.00	230	3.065	0.018
TH86-T1	Default	1/22/1980	6:22 AM	256.44	5.129	2.802	1.83	1.51	50.00	230	3.400	0.168
TH87-T1	Default	1/22/1980	6:23 AM	297.39	5.948	3.197	1.86	1.71	50.00	230	3.484	0.012
TH102-T1	Default	1/22/1980	6:23 AM	140.25	2.805	1.558	1.80	0.49	50.00	230	5.748	0.232
TH104-T1	Default	1/22/1980	6:24 AM	52.72	1.054	0.597	1.76	0.76	50.00	230	1.388	0.034
TH106-T1	Default	1/22/1980	6:24 AM	194.95	3.899	2.139	1.82	0.41	50.00	230	9.399	0.203
TH107-T1	Default	1/22/1980	6:24 AM	290.24	5.805	3.170	1.83	1.52	50.00	230	3.825	0.353
TH109-T1	Default	1/22/1980	6:25 AM	286.54	5.731	3.119	1.84	1.63	50.00	230	3.518	0.244
TH111-T1	Default	1/22/1980	6:27 AM	73.40	1.468	0.794	1.85	1.36	50.00	230	1.077	-0.020
TH116-T1	Default	1/22/1980	6:28 AM	78.00	1.560	0.834	1.87	1.28	50.00	230	1.215	0.001
TH117-T1	Default	1/22/1980	6:29 AM	44.86	0.897	0.494	1.82	0.56	50.00	230	1.605	0.050
TH118-T1	Default	1/22/1980	6:29 AM	311.39	6.228	3.376	1.84	1.51	50.00	230	4.125	0.062
TH144-T1	Default	1/22/1980	6:31 AM	111.76	2.235	1.211	1.85	1.68	50.00	230	1.327	-0.005
TH13-T2	Default	1/22/1980	6:32 AM	337.56	6.751	3.637	1.86	1.93	50.00	230	3.490	0.136
TH18-T2	Default	1/22/1980	6:32 AM	205.33	4.107	2.235	1.84	1.20	50.00	230	3.411	0.218
TH144-T2	Default	1/22/1980	6:33 AM	109.47	2.189	1.199	1.83	0.57	50.00	230	3.848	0.138
TH49-T3	Default	1/22/1980	6:34 AM	43.91	0.878	0.496	1.77	1.05	50.00	230	0.833	0.096
WASH	Default	1/22/1980	6:35 AM	1.54	0.031	0.033	0.92	1.34	50.00	230	0.023	-0.013
